id	author	title	score
uc1.31822008938284	['Boston Society of Natural History.']	['Occasional papers of the Boston Society of Natural History']	21811.8 
uc1.31822011396918	['Field Museum of Natural History', 'Cory, Charles B. (Charles Barney), 1857-1921', 'Conover, Boardman', 'Hellmayr, C. E. (Carl Eduard)']	['Catalogue of birds of the Americas and the adjacent islands in Field Museum of Natural History : including all species and subspecies known to occur in North America, Mexico, Central America, South America, the West Indies, and islands of the Caribbean Sea, the Galapagos Archipelago, and other islands which may properly be included on account of their faunal affinities']	10517.755 
nyp.33433011492398	['Rennie, James, 1787-1867.', 'Jackson, J.', 'Harvey, W.']	['The menageries. The natural history of monkeys, opossums, and lemurs']	7016.626 
umn.31951d008272412	['United States. Congress. Senate. Committee on Energy and Natural Resources. Subcommittee on Energy Regulation.', 'United States. Congress. Senate. Committee on Energy and Natural Resources. Subcommittee on Water and Power.']	['Hydroelectric development and licensing procedures : joint hearing before the Subcommittee on Energy Regulation and the Subcommittee on Water and Power of the Committee on Energy and Natural Resources, United States Senate, Ninety-seventh Congress, first session']	326.351 
umn.31951002180762s	['Allen, Emory Adams, 1853-']	['History of civilization']	134.00249 
hvd.hxkw99	['Grote, George, 1794-1871.']	['A history of Greece']	127.15685 
mdp.39015058532055	['Rusden, George William, 1819-1903.']	['History of New Zealand']	127.15685 
nyp.33433044610198	['Marriott, J. A. R. (John Arthur Ransome), Sir, 1859-1945.']	['English history in Shakspeare']	127.15685 
umn.31951002310772h	['International Congress for Logic, Methodology, and Philosophy of Science (1st : 1960 : Stanford, Calif.)', 'Nagel, Ernest, 1901-1985.', 'National Academy of Sciences (U.S.)', 'International Union of the History and Philosophy of Science. Division of Logic, Methodology and Philosophy of Science.']	['Logic, methodology, and philosophy of science : proceedings']	123.04456 
mdp.39015016763404	['Stott, William Taylor, 1836-1918.']	['Indiana Baptist history, 1798-1908']	120.97665 
mdp.39015013185692	['Clifford, Derek Plint.']	['A history of garden design']	120.97665 
nyp.33433071394419	['Goodrich, Samuel G. (Samuel Griswold), 1793-1860.']	['The third book of history, containing ancient history in connection with ancient geography. Designed as a sequel to The first and Second books of history']	115.70616 
nyp.33433081792248		['American history leaflets, colonial and constitutional']	115.36936 
nyp.33433081559712	['Levien, Edward.']	['Outlines of the history of Rome']	115.36936 
umn.31951002077094l	['Richardson, Samuel, 1689-1761.', 'Phelps, William Lyon, 1865-1943.']	['The history of Sir Charles Grandison']	115.36936 
